"signal / variable / member name";"context (frame or PDU / RTE port or operation)";"ECU";"bus signal / system variable";"direction";"access";"classification";"hooked";"ASR type";"VTT type";"array length";"bit count";"total bit count";"init value raw";"init value phys";"min value raw";"max value raw";"min value phys";"max value phys";"num_v1";"num_v2";"denom_v1";"unit";"comment"
"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00::InverterCoolgT_oMASTER_CTRL_INFORMATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"8";"8";"0";"-50";"";"";"";"";"-50.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00::OilT_oMASTER_CTRL_INFORMATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"8";"8";"0";"-50";"";"";"";"";"-50.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00::InverterCoolgFlowRate_oMASTER_CTRL_INFORMATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"0.10000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00::OilFlowRate_oMASTER_CTRL_INFORMATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"0.10000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00::UDCMax_Lim0Nm_oMASTER_CTRL_INFORMATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"13";"13";"0";"0";"";"";"";"";"0.00000000";"0.01000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00::UDCMin_Lim0Nm_oMASTER_CTRL_INFORMATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"13";"13";"0";"0";"";"";"";"";"0.00000000";"0.01000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00::NotUsed2_oMASTER_CTRL_INFORMATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_INFORMATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"6";"6";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00::TqMax_oMASTER_CTRL_LIMITATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"10";"10";"0";"0";"";"";"";"";"0.00000000";"0.10000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00::TqMin_oMASTER_CTRL_LIMITATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"10";"10";"0";"0";"";"";"";"";"0.00000000";"-0.10000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00::IDCMax_oMASTER_CTRL_LIMITATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"9";"9";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00::IDCMin_oMASTER_CTRL_LIMITATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"9";"9";"0";"0";"";"";"";"";"0.00000000";"-1.00000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00::UDCMax_Unlim_oMASTER_CTRL_LIMITATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"13";"13";"0";"0";"";"";"";"";"0.00000000";"0.01000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00::UDCMin_Unlim_oMASTER_CTRL_LIMITATION_oCAN00";"CAN::CAN00::::MASTER_CTRL_LIMITATION_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"13";"13";"0";"0";"";"";"";"";"0.00000000";"0.01000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00::ModReq_oMASTER_CTRL_REQ_oCAN00";"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"8";"8";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00::TqReq_oMASTER_CTRL_REQ_oCAN00";"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"11";"11";"0";"-55";"";"";"";"";"-55.00000000";"0.10000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00::TqGrdtLim_oMASTER_CTRL_REQ_oCAN00";"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"16";"16";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00::SpdReq_oMASTER_CTRL_REQ_oCAN00";"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"15";"15";"0";"-20000";"";"";"";"";"-20000.00000000";"2.00000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00::SpdGrdtLim_oMASTER_CTRL_REQ_oCAN00";"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"11";"11";"0";"0";"";"";"";"";"0.00000000";"20.00000000";"1";"";""
"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00::NotUsed1_oMASTER_CTRL_REQ_oCAN00";"CAN::CAN00::::MASTER_CTRL_REQ_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"3";"3";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::RESERVED_ID1_oCAN00::NotUsed1_1_oRESERVED_ID1_oCAN00";"CAN::CAN00::::RESERVED_ID1_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"32";"32";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::RESERVED_ID1_oCAN00::NotUsed1_2_oRESERVED_ID1_oCAN00";"CAN::CAN00::::RESERVED_ID1_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"32";"32";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::RESERVED_ID2_oCAN00::NotUsed2_1_oRESERVED_ID2_oCAN00";"CAN::CAN00::::RESERVED_ID2_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"32";"32";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::RESERVED_ID2_oCAN00::NotUsed2_2_oRESERVED_ID2_oCAN00";"CAN::CAN00::::RESERVED_ID2_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"32";"32";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::RESERVED_ID3_oCAN00::NotUsed3_1_oRESERVED_ID3_oCAN00";"CAN::CAN00::::RESERVED_ID3_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"32";"32";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::RESERVED_ID3_oCAN00::NotUsed3_2_oRESERVED_ID3_oCAN00";"CAN::CAN00::::RESERVED_ID3_oCAN00";"SCU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"32";"32";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
